,id,spotify_id,list_name,list_id,song_id,song_name,artist,popularity,release_date,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,mode,key
64,7,09Hn3imEa0xXpczlWVVTwW,Cyrus ne suggest kia,09Hn3imEa0xXpczlWVVTwW,6l1VsKiMyaUWElFrM1rsuu,Saansein,Prateek Kuhad,56,2018-07-13,0.518,0.138,128.041,0.0282,0.653,0.531,0.693,266042,-9.146,0.374,1,1
65,8,2nus3YihCjsxUOm72kX5Z3,Beats/EDM,2nus3YihCjsxUOm72kX5Z3,1BwlamEsFRvFgnXAZNJFQA,"Khalifa (From ""Lekar Hum Deewana Dil"")",A.R. Rahman,13,2014-06-03,0.886,0.108,120.016,0.0525,0.0212,2.16e-05,0.694,303598,-5.133,0.623,1,7
66,8,2nus3YihCjsxUOm72kX5Z3,Beats/EDM,2nus3YihCjsxUOm72kX5Z3,22WubMzx5mkCAHZHvInkpH,Lalla Lalla Lori,Vishal Dadlani,39,2015-04-29,0.895,0.104,124.95,0.0453,0.0947,0,0.638,257050,-3.255,0.729,0,8
67,8,2nus3YihCjsxUOm72kX5Z3,Beats/EDM,2nus3YihCjsxUOm72kX5Z3,02itaCXOdC54J0ISjqqFAp,All Around The World (La La La),R3HAB,78,2019-04-05,0.859,0.105,124.948,0.033,0.479,0.0645,0.733,147840,-5.03,0.52,0,9
68,8,2nus3YihCjsxUOm72kX5Z3,Beats/EDM,2nus3YihCjsxUOm72kX5Z3,6PkzXU8dlwtfrwyTlUyVnv,Show Me Love - EDX Remix / Radio Edit,Sam Feldt,66,2015-06-14,0.659,0.0704,121.022,0.0677,0.297,0.000811,0.832,180336,-5.831,0.712,1,0
69,8,2nus3YihCjsxUOm72kX5Z3,Beats/EDM,2nus3YihCjsxUOm72kX5Z3,6PkzXU8dlwtfrwyTlUyVnv,Show Me Love - EDX Remix / Radio Edit,Sam Feldt,66,2015-06-14,0.659,0.0704,121.022,0.0677,0.297,0.000811,0.832,180336,-5.831,0.712,1,0
70,8,2nus3YihCjsxUOm72kX5Z3,Beats/EDM,2nus3YihCjsxUOm72kX5Z3,4499ZyhJG8CSNakFvUlQcz,Give Me Your Hand (Best Song Ever),The Ready Set,0,2014-05-27,0.889,0.685,125.998,0.0462,0.0466,0,0.69,228093,-3.279,0.892,1,6
71,8,2nus3YihCjsxUOm72kX5Z3,Beats/EDM,2nus3YihCjsxUOm72kX5Z3,7shgdEooY9RdGuMM71SRax,You Don't Know Me,Kevin Silvester,9,2019-04-17,0.713,0.266,179.838,0.212,0.0319,0,0.421,239297,-5.476,0.319,1,11
72,8,2nus3YihCjsxUOm72kX5Z3,Beats/EDM,2nus3YihCjsxUOm72kX5Z3,7shgdEooY9RdGuMM71SRax,You Don't Know Me,Kevin Silvester,9,2019-04-17,0.713,0.266,179.838,0.212,0.0319,0,0.421,239297,-5.476,0.319,1,11
73,8,2nus3YihCjsxUOm72kX5Z3,Beats/EDM,2nus3YihCjsxUOm72kX5Z3,51m9UJSULSzzpiJ1pTitgS,On Your Mind,Kevin Silvester,0,2019-06-21,0.776,0.16,80.001,0.0583,0.0101,0,0.567,226055,-4.696,0.356,1,9
74,8,2nus3YihCjsxUOm72kX5Z3,Beats/EDM,2nus3YihCjsxUOm72kX5Z3,3dz63QjQVZy7RYPzx6l3JU,Your Side Of The Bed (feat. Eric Nam),Loote,44,2018-06-22,0.764,0.294,109.919,0.0312,0.144,0,0.754,196160,-3.95,0.929,1,8
75,8,2nus3YihCjsxUOm72kX5Z3,Beats/EDM,2nus3YihCjsxUOm72kX5Z3,3dz63QjQVZy7RYPzx6l3JU,Your Side Of The Bed (feat. Eric Nam),Loote,44,2018-06-22,0.764,0.294,109.919,0.0312,0.144,0,0.754,196160,-3.95,0.929,1,8
76,8,2nus3YihCjsxUOm72kX5Z3,Beats/EDM,2nus3YihCjsxUOm72kX5Z3,23FHa9lYnG6Dr8OzombPkS,Roots,Valerie Broussard,66,2019-08-16,0.785,0.177,122.997,0.037,0.0643,1.34e-05,0.683,184564,-4.879,0.581,1,7
77,8,2nus3YihCjsxUOm72kX5Z3,Beats/EDM,2nus3YihCjsxUOm72kX5Z3,7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers,84,2016-07-29,0.524,0.111,95.01,0.0338,0.414,0,0.748,244960,-5.599,0.661,1,8
78,8,2nus3YihCjsxUOm72kX5Z3,Beats/EDM,2nus3YihCjsxUOm72kX5Z3,7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers,84,2016-07-29,0.524,0.111,95.01,0.0338,0.414,0,0.748,244960,-5.599,0.661,1,8
79,8,2nus3YihCjsxUOm72kX5Z3,Beats/EDM,2nus3YihCjsxUOm72kX5Z3,7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers,84,2016-07-29,0.524,0.111,95.01,0.0338,0.414,0,0.748,244960,-5.599,0.661,1,8
80,8,2nus3YihCjsxUOm72kX5Z3,Beats/EDM,2nus3YihCjsxUOm72kX5Z3,2CPqh63wRVscbceKcPxwvv,The Ocean (feat. Shy Martin),Mike Perry,73,2016-04-15,0.575,0.104,90.037,0.029,0.0225,1.81e-06,0.632,183414,-6.478,0.188,1,5
81,8,2nus3YihCjsxUOm72kX5Z3,Beats/EDM,2nus3YihCjsxUOm72kX5Z3,2CPqh63wRVscbceKcPxwvv,The Ocean (feat. Shy Martin),Mike Perry,73,2016-04-15,0.575,0.104,90.037,0.029,0.0225,1.81e-06,0.632,183414,-6.478,0.188,1,5
82,8,2nus3YihCjsxUOm72kX5Z3,Beats/EDM,2nus3YihCjsxUOm72kX5Z3,09IStsImFySgyp0pIQdqAc,The Middle,Zedd,82,2018-01-23,0.657,0.112,107.01,0.0449,0.171,0,0.753,184732,-3.061,0.437,1,7
83,8,2nus3YihCjsxUOm72kX5Z3,Beats/EDM,2nus3YihCjsxUOm72kX5Z3,09IStsImFySgyp0pIQdqAc,The Middle,Zedd,82,2018-01-23,0.657,0.112,107.01,0.0449,0.171,0,0.753,184732,-3.061,0.437,1,7
84,8,2nus3YihCjsxUOm72kX5Z3,Beats/EDM,2nus3YihCjsxUOm72kX5Z3,0M0FvSNRZmDz0Z769rewlI,Fire In My Soul,Oliver Heldens,65,2018-10-26,0.977,0.0703,126.178,0.312,0.206,0.000103,0.592,175254,-3.389,0.496,1,6
85,8,2nus3YihCjsxUOm72kX5Z3,Beats/EDM,2nus3YihCjsxUOm72kX5Z3,0M0FvSNRZmDz0Z769rewlI,Fire In My Soul,Oliver Heldens,65,2018-10-26,0.977,0.0703,126.178,0.312,0.206,0.000103,0.592,175254,-3.389,0.496,1,6
86,8,2nus3YihCjsxUOm72kX5Z3,Beats/EDM,2nus3YihCjsxUOm72kX5Z3,6wo37KVqFJhtuxPTpLCcfe,Takeaway (feat. Lennon Stella),The Chainsmokers,9,2019-07-24,0.505,0.0977,85.332,0.042,0.12,0,0.294,209893,-8.106,0.357,1,3
87,8,2nus3YihCjsxUOm72kX5Z3,Beats/EDM,2nus3YihCjsxUOm72kX5Z3,3FWPoYBDserKdzcattMFGa,Roses (feat. ROZES),The Chainsmokers,62,2015-10-23,0.808,0.225,100.033,0.0473,0.0299,0.00414,0.718,225813,-7.652,0.309,1,4
88,8,2nus3YihCjsxUOm72kX5Z3,Beats/EDM,2nus3YihCjsxUOm72kX5Z3,4TyroqnSj0YkpZ9rf2Skq7,Collide,Jake Miller,0,2013-11-05,0.683,0.0679,127.937,0.0518,0.0122,0.00011,0.564,215587,-7.754,0.188,1,9
89,8,2nus3YihCjsxUOm72kX5Z3,Beats/EDM,2nus3YihCjsxUOm72kX5Z3,4G6A1vrOJC6pUwBhxfoSQS,Can't Help Myself,Jake Miller,47,2017-06-16,0.615,0.109,76.53,0.0506,0.209,0,0.656,210000,-5.562,0.732,1,1
90,8,2nus3YihCjsxUOm72kX5Z3,Beats/EDM,2nus3YihCjsxUOm72kX5Z3,7wOqBOryVGD3nqDUihDSwL,Rumors,NEFFEX,73,2017-04-26,0.706,0.426,74.972,0.115,0.0603,2.75e-06,0.673,247608,-8.4,0.516,1,8
91,8,2nus3YihCjsxUOm72kX5Z3,Beats/EDM,2nus3YihCjsxUOm72kX5Z3,0U6bQIAh6MCGo1xjbIIx2S,Instagram,Dimitri Vegas & Like Mike,75,2019-07-05,0.906,0.423,96.071,0.0965,0.125,0,0.765,184558,-2.097,0.95,0,8
