,list_name,song_id,song_name,artist,popularity,release_date,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,mode,key
134,Halsey inducing palsey,2IO7yf562c1zLzpanal1DT,Gasoline,Halsey,73.0,2015-08-28,0.58,0.129,119.997,0.0399,0.223,0.0,0.731,199593.0,-7.328,0.319,0.0,10.0
135,Halsey inducing palsey,7ozvM98YyrdyOBh1lItVHc,clementine,Halsey,55.0,2019-09-29,0.437,0.106,143.263,0.162,0.885,0.0,0.533,234411.0,-7.659,0.48,0.0,3.0
136,Halsey inducing palsey,0d2iYfpKoM0QCKvcLCkBao,Eastside (with Halsey & Khalid),benny blanco,78.0,2018-07-12,0.68,0.116,89.391,0.321,0.555,0.0,0.56,173800.0,-7.648,0.319,0.0,6.0
137,Halsey inducing palsey,6V9fHiv84WlVTg7CSnIVY2,Graveyard,Halsey,12.0,2019-09-13,0.583,0.181,92.043,0.0747,0.231,4.48e-05,0.667,181806.0,-5.127,0.187,0.0,11.0
139,Halsey inducing palsey,5p7ujcrUXASCNwRaWNHR1C,Without Me,Halsey,81.0,2018-10-04,0.488,0.0936,136.041,0.0705,0.297,9.11e-06,0.752,201661.0,-7.05,0.533,1.0,6.0
140,Halsey inducing palsey,44n97yHySt0Z9rqPaXgjCK,Sorry,Halsey,76.0,2017-06-02,0.25,0.117,74.103,0.0367,0.913,0.0,0.513,220541.0,-9.376,0.351,0.0,5.0
141,Halsey inducing palsey,2usxQITOSDqvkYiI0oIwao,You should be sad,Halsey,0.0,2020-01-10,0.585,0.109,110.94,0.0277,0.143,0.0,0.591,205473.0,-6.35,0.324,1.0,2.0
142,Yash ke gaane,1emx944EiuTphS9qv5mslc,Tears In Heaven,Boyce Avenue,50.0,2015-04-28,0.0926,0.112,77.934,0.0307,0.921,0.0,0.748,280652.0,-11.531,0.327,1.0,8.0
143,Yash ke gaane,2jdAk8ATWIL3dwT47XpRfu,Slow Dancing in a Burning Room,John Mayer,74.0,2006-09-11,0.361,0.0805,134.018,0.0273,0.575,0.00506,0.667,242000.0,-8.69,0.29,0.0,1.0
144,Yash ke gaane,6CKoWCWAqEVWVjpeoJXyNH,Shape Of My Heart,Sting,72.0,1993-03-09,0.373,0.083,83.936,0.0331,0.691,0.000915,0.537,279227.0,-10.081,0.244,0.0,6.0
145,Yash ke gaane,1YYhDizHx7PnDhAhko6cDS,"Take Me Home, Country Roads",John Denver,70.0,1971,0.395,0.121,82.259,0.0264,0.758,0.0,0.462,190160.0,-9.376,0.625,1.0,9.0
146,Yash ke gaane,1g2tPIP5isX44SNeDeqLsz,On A Day Like Today,Bryan Adams,38.0,1998-01-01,0.555,0.366,82.041,0.0257,0.102,0.0,0.475,208733.0,-8.693,0.36,1.0,7.0
147,Yash ke gaane,1OQpTtcuAauAqp5Okxtbs2,Summer Of '69 - MTV Unplugged Version,Bryan Adams,58.0,1997-01-01,0.598,0.977,141.11,0.031,0.331,0.0,0.469,241760.0,-7.791,0.419,1.0,9.0
148,Yash ke gaane,6zeE5tKyr8Nu882DQhhSQI,Dust in the Wind,Kansas,77.0,1977,0.322,0.11,93.503,0.0283,0.367,0.00056,0.475,206267.0,-10.687,0.387,1.0,7.0
149,Cyrus ne suggest kia,7stcuQtnHL7C6XdPvpwywv,Vertigo,Khalid,61.0,2018-10-19,0.458,0.117,115.989,0.0371,0.552,0.0257,0.487,270413.0,-7.761,0.207,0.0,4.0
150,Cyrus ne suggest kia,2kAIpGWnlFLQh48iut6Zzq,Free Spirit,Khalid,73.0,2019-04-05,0.446,0.111,139.994,0.0332,0.308,0.00077,0.627,182080.0,-9.477,0.11,0.0,2.0
151,Cyrus ne suggest kia,1fHRzxbts9A8J1ergDe7Kz,Saturday Nights,Khalid,65.0,2019-04-05,0.37,0.0986,83.162,0.0841,0.634,9.4e-05,0.574,211627.0,-10.803,0.354,1.0,10.0
152,Cyrus ne suggest kia,6l1VsKiMyaUWElFrM1rsuu,Saansein,Prateek Kuhad,55.0,2018-07-13,0.518,0.138,128.041,0.0282,0.653,0.531,0.693,266042.0,-9.146,0.374,1.0,1.0
