,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature
558,Cubicolor,Now You Know,142767,2020-06-15 12:30:00,0.744,0.563,2.0,-10.23,0.0,0.0446,0.109,0.542,0.076,0.55,105.011,3uv74bJQCukadVWQsEbjhy,4.0
559,Metno,Tack,155295,2020-06-15 12:32:00,0.54,0.746,9.0,-9.449,0.0,0.0271,0.00135,0.000395,0.104,0.378,103.229,64qisKNomdjWwMaeey5GAZ,4.0
560,Kaskade,Find Love,264677,2020-06-15 12:37:00,0.66,0.177,2.0,-13.461,0.0,0.0377,0.835,0.162,0.108,0.0699,82.974,5L3VoLOjwPv7hPknnmYaeT,4.0
561,Kasbo,Lay It On Me (feat. Keiynan Lonsdale),224412,2020-06-15 12:41:00,0.557,0.577,11.0,-6.18,1.0,0.0721,0.342,0.0,0.12,0.154,100.055,14oTuzcNwzAsBqzv5NRv6U,4.0
562,Elon “EDM” Musk,Don’t Doubt ur Vibe,241935,2020-06-15 12:45:00,0.539,0.912,0.0,-7.828,1.0,0.0319,0.0069,0.717,0.239,0.247,123.996,6GGODyP2LIdbxIfYxy5UbN,4.0
563,Stefan Biniak,"Read All About It, Pt. III",194574,2020-06-15 12:48:00,0.63,0.44,2.0,-7.186,1.0,0.0249,0.822,3.87e-06,0.0926,0.343,98.082,30BsewEJZPxfuLNAlZPFje,4.0
564,Jai Wolf,Indian Summer - Kasbo Remix,256090,2020-06-15 12:53:00,0.513,0.639,2.0,-7.905,1.0,0.0401,0.0676,0.671,0.116,0.144,89.973,2hFD70XI1S5HeGxasMvgbY,4.0
565,Sons Of Maria,Release Me,201650,2020-06-15 12:57:00,0.543,0.814,9.0,-4.592,0.0,0.159,0.457,0.0643,0.174,0.395,106.023,2m9qRdqlX38yroyuxGGMO1,4.0
568,Chace,Us,3029,2020-06-16 08:27:00,0.563,0.689,0.0,-4.294,0.0,0.0262,0.294,0.0,0.288,0.321,101.94,5TJOAIWHRYW8pRBpnvLUo1,4.0
571,Liam Payne,Strip That Down (feat. Quavo),171188,2020-06-16 08:33:00,0.873,0.495,6.0,-5.446,1.0,0.0518,0.199,0.0,0.0805,0.546,106.033,29JrmE89KgRyCxBIzq2Ocw,4.0
573,Marshmello,Proud,12740,2020-06-16 08:36:00,0.791,0.62,1.0,-4.061,0.0,0.117,0.281,0.0,0.0611,0.937,137.95,7ekTRsrREoqHWTM4Fo8cjU,4.0
577,3LAU,Better With You - Kastra & twoDB Remix,178064,2020-06-16 14:36:00,0.563,0.85,3.0,-4.79,1.0,0.0845,0.0349,0.0,0.107,0.458,123.969,6Sw0DXMinATz4FTYaO9MxS,4.0
578,Paige,Always On Your Mind,177211,2020-06-16 14:40:00,0.76,0.58,7.0,-8.085,1.0,0.0463,0.252,1.71e-06,0.284,0.669,115.067,7bnSef3wDeScwpddKLBeZB,4.0
579,Young Bombs,Don't Let Them,147999,2020-06-16 14:43:00,0.58,0.821,5.0,-3.603,1.0,0.0636,0.0928,0.0,0.146,0.572,119.919,5DcfAiJLSxOqhgatiFXy3P,4.0
580,Gryffin,Body Back (feat. Maia Wright) - Deniz Koyu Remix,257400,2020-06-16 14:47:00,0.489,0.739,8.0,-5.049,1.0,0.0397,0.0573,9.76e-06,0.105,0.472,125.003,6D72WFltGvVYuHMzQocBEY,4.0
582,Klaas,Call Me When You Need Me,205920,2020-06-16 14:55:00,0.676,0.697,10.0,-5.672,1.0,0.0556,0.414,0.0,0.174,0.448,125.015,0F5Lot47g7W5vSdQOMgFbI,4.0
583,Jay Pryor,Finding Our Way,173258,2020-06-16 14:58:00,0.773,0.804,9.0,-6.408,1.0,0.102,0.0243,1.3e-05,0.347,0.65,124.034,0Uc2Bg05ybIP7eMu2U73O5,4.0
584,Midnight Kids,Serious (with Matthew Koma),182400,2020-06-16 15:01:00,0.53,0.763,4.0,-3.348,1.0,0.0367,0.242,0.0,0.117,0.226,100.002,1wjjc9SGlmzzXDI26gim3p,4.0
586,DJ Funsize,Find the Light,189375,2020-06-16 15:08:00,0.549,0.766,9.0,-7.902,1.0,0.0368,0.00621,0.000711,0.309,0.359,127.999,0xRRhkw7naNriffhOSC7l7,4.0
587,Avicii,Lonely Together (feat. Rita Ora),181812,2020-06-16 15:11:00,0.655,0.666,5.0,-5.309,1.0,0.0612,0.134,2.12e-05,0.0683,0.272,102.977,2OALaHcDdKkjYEpAr0Qzab,4.0
588,Kygo,Born To Be Yours,193320,2020-06-16 15:15:00,0.688,0.688,3.0,-5.84,1.0,0.0357,0.3,0.0,0.0982,0.451,114.011,0kHyKhJMukHEPfeh8s7rdM,4.0
589,M-22,First Time - Disco Fries Remix,207338,2020-06-16 15:18:00,0.761,0.727,8.0,-5.441,1.0,0.0458,0.0656,0.397,0.126,0.42,123.987,7FcT9XALvaUrqYm96ubb3b,4.0
590,ILLENIUM,In Your Arms (with X Ambassadors),220730,2020-06-16 15:22:00,0.404,0.806,2.0,-4.75,1.0,0.0496,0.198,0.0,0.114,0.112,148.036,70YPzqSEwJvAIQ6nMs1cjY,4.0
591,Breathe Carolina,My Love,144918,2020-06-16 15:25:00,0.739,0.947,9.0,-3.41,0.0,0.0549,0.067,0.0932,0.0536,0.739,132.99,0DpBhHvxAOZUhaRh33dIUK,4.0
592,Zonderling,Lifetime,135555,2020-06-16 15:27:00,0.591,0.685,0.0,-5.45,1.0,0.189,0.35,0.0,0.1,0.292,168.058,0UJRDG417vbou3SOhKWGxH,4.0
593,Mesto,Don't Worry (feat. Aloe Blacc),175098,2020-06-16 15:30:00,0.741,0.733,1.0,-4.572,0.0,0.0367,0.143,0.0,0.103,0.549,125.962,0KwlzQaySxzPkt0nELecnx,4.0
595,Red Square,The Word (Go There) - Original Mix,1003,2020-06-16 15:37:00,0.711,0.818,11.0,-2.836,0.0,0.195,0.139,1.74e-06,0.173,0.771,125.991,5FjbhxYZ0zrMSTZEsczC91,4.0
597,ayokay,Sleepless Nights (feat. Nightly),58259,2020-06-18 03:47:00,0.663,0.696,11.0,-5.994,1.0,0.0349,0.0563,6.25e-06,0.226,0.449,139.98,4PUWpNtDejQwwa80LjvxXl,4.0
644,Great Good Fine Ok,Change,197343,2020-06-21 06:47:00,0.669,0.308,11.0,-10.068,1.0,0.029,0.883,0.0,0.0984,0.52,64.934,7AFASza1mXqntmGtbxXprO,4.0
647,ayokay,Half Past You (feat. Future Jr.),174226,2020-06-21 06:57:00,0.537,0.597,7.0,-7.641,0.0,0.0718,0.59,1.14e-05,0.101,0.388,79.96,0ztHfh4CYFT1UmzTeHHIWL,4.0
648,Troye Sivan,Dance To This (feat. Ariana Grande),231846,2020-06-21 07:01:00,0.736,0.756,11.0,-7.099,1.0,0.047,0.00632,0.00577,0.106,0.712,117.016,2NjO87HyT80fsgejd3PLYW,4.0
649,Chelsea Cutler,Summer Love - Recorded at Spotify Studios NYC,214381,2020-06-21 07:05:00,0.667,0.302,4.0,-11.633,0.0,0.0377,0.198,1.18e-05,0.101,0.239,81.966,3LSnp6mtKiVXCJwsmOvfMd,4.0
651,SG Lewis,Flames (feat. Ruel),216765,2020-06-21 07:11:00,0.555,0.62,9.0,-5.822,0.0,0.118,0.0891,0.00306,0.107,0.371,193.924,4JiuLIWKkLH2iluzOhXh5Y,3.0
652,Greyson Chance,shut up,170363,2020-06-21 07:15:00,0.821,0.448,9.0,-4.33,1.0,0.0468,0.296,3.26e-06,0.0683,0.45,105.006,7m97u5zpSWqkDjN4uwY2LP,4.0
