,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature
63,Black Eyed Peas,MAMACITA,52197,2020-05-30 06:51:00,0.894,0.635,2.0,-6.929,1.0,0.0473,0.193,0.00105,0.0823,0.428,105.013,14wf185UxfNbSy8dwt4r4q,4.0
64,Jason Derulo,Stupid Love,22073,2020-05-30 06:52:00,0.68,0.825,8.0,-4.296,1.0,0.0702,0.00173,0.000122,0.27,0.784,117.987,1Y1q2syobRsNsB7nqgrfrk,4.0
65,Joshua Moriarty,Savage Love,15714,2020-05-30 06:52:00,0.767,0.481,0.0,-8.52,0.0,0.0803,0.234,0.0,0.269,0.761,150.076,1xQ6trAsedVPCdbtDAmk0c,4.0
66,Robin Schulz,Sugar (feat. Francesco Yates),219043,2020-05-30 06:56:00,0.636,0.815,5.0,-5.098,0.0,0.0581,0.0185,0.0,0.163,0.636,123.063,5tf1VVWniHgryyumXyJM7w,4.0
67,Tungevaag,Wolf,133850,2020-05-30 06:58:00,0.445,0.907,11.0,-3.894,0.0,0.0773,0.00161,0.0,0.403,0.71,165.069,55Fpeuuc2sbQiy74eA1gTt,4.0
68,Mike Perry,The Ocean (feat. Shy Martin),183414,2020-05-30 07:01:00,0.632,0.575,5.0,-6.478,1.0,0.029,0.0225,1.81e-06,0.104,0.188,90.037,2CPqh63wRVscbceKcPxwvv,4.0
69,Zedd,The Middle,182918,2020-05-30 07:04:00,0.753,0.657,7.0,-3.061,1.0,0.0449,0.171,0.0,0.112,0.437,107.01,09IStsImFySgyp0pIQdqAc,4.0
70,Borgeous,Make Me Yours,195239,2020-05-30 07:07:00,0.577,0.615,7.0,-6.084,0.0,0.0395,0.0124,1.33e-06,0.124,0.174,127.904,3G2O60rq5a77GEIwK1mVmh,4.0
71,The Vamps,All Night,197640,2020-05-30 07:11:00,0.538,0.804,8.0,-5.194,1.0,0.0358,0.0041,0.0,0.33,0.507,144.992,0dXNQ8dckG4eYfEtq9zcva,4.0
72,Axwell /\ Ingrosso,More Than You Know,44890,2020-05-30 07:14:00,0.646,0.741,5.0,-4.973,0.0,0.034,0.0275,0.0,0.312,0.571,123.077,6h5PAsRni4IRlxWr6uDPTP,4.0
73,The Vamps,All Night - Acoustic,833,2020-05-30 07:14:00,0.55,0.62,5.0,-5.348,1.0,0.037,0.0601,0.0,0.205,0.42,152.034,2Hi2tWANUXtd1URtLYgwne,4.0
74,The Chainsmokers,All We Know,404,2020-05-30 07:14:00,0.662,0.586,0.0,-8.821,1.0,0.0307,0.097,0.00272,0.115,0.296,90.0,2rizacJSyD9S1IQUxUxnsK,4.0
75,Oliver Heldens,Fire In My Soul,175253,2020-05-30 07:14:00,0.592,0.977,6.0,-3.389,1.0,0.312,0.206,0.000103,0.0703,0.496,126.178,0M0FvSNRZmDz0Z769rewlI,4.0
76,Jonas Blue,Perfect Strangers - Acoustic,191206,2020-05-30 07:18:00,0.607,0.669,0.0,-4.443,1.0,0.0384,0.752,0.0,0.105,0.578,115.682,1UToeULiroxGaVUHyAb7J2,4.0
77,Calum Scott,Dancing On My Own - Acoustic,94019,2020-05-30 07:19:00,0.528,0.0784,1.0,-11.402,1.0,0.0413,0.954,1.54e-06,0.151,0.418,117.964,7tOAtB2F50KXEkw86frba6,4.0
78,Sam Feldt,Show Me Love - EDX Remix / Radio Edit,180336,2020-05-30 07:22:00,0.832,0.659,0.0,-5.831,1.0,0.0677,0.297,0.000811,0.0704,0.712,121.022,6PkzXU8dlwtfrwyTlUyVnv,4.0
79,Tritonal,Getaway,3598,2020-05-30 07:33:00,0.562,0.689,2.0,-6.745,1.0,0.127,0.00465,2.23e-06,0.0888,0.351,172.054,0VE4kBnHJUgtMf0dy6DRmW,4.0
80,Tritonal,Getaway,116172,2020-05-30 08:20:00,0.562,0.689,2.0,-6.745,1.0,0.127,0.00465,2.23e-06,0.0888,0.351,172.054,0VE4kBnHJUgtMf0dy6DRmW,4.0
81,The Chainsmokers,Call You Mine,5610,2020-05-30 13:48:00,0.585,0.696,4.0,-5.6,0.0,0.0307,0.204,0.0,0.344,0.522,104.01,2oejEp50ZzPuQTQ6v54Evp,4.0
82,Joel Corry,Sorry,1186,2020-05-30 13:48:00,0.654,0.76,0.0,-3.669,0.0,0.045,0.0797,0.0,0.299,0.41,99.945,09CtPGIpYB4BrO8qb1RGsF,4.0
83,The Chainsmokers,Roses,226738,2020-05-30 13:51:00,0.77,0.724,8.0,-5.484,1.0,0.0495,0.0167,0.0107,0.353,0.898,121.975,24Yi9hE78yPEbZ4kxyoXAI,4.0
84,Sofia Carson,I Luv U (with R3HAB) - R3HAB VIP Remix,173034,2020-05-30 13:54:00,0.583,0.754,1.0,-7.216,1.0,0.178,0.148,8.24e-05,0.268,0.593,116.622,3wgHRiN7KQHoKGlUpEbXH2,4.0
