,name,endTime,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
3435,"fuck, i’m lonely - Ofenbach Remix",2020-04-19 19:24,Lauv,"fuck, i’m lonely - Ofenbach Remix",169774,2020-04-19 19:24:00,0.762,0.674,9,-5.146,1,0.0378,0.0106,3.67e-06,0.0321,0.759,105.027,audio_features,6TveqqtPQ9ejW45zi6FYCs,spotify:track:6TveqqtPQ9ejW45zi6FYCs,https://api.spotify.com/v1/tracks/6TveqqtPQ9ejW45zi6FYCs,https://api.spotify.com/v1/audio-analysis/6TveqqtPQ9ejW45zi6FYCs,178512,4
3436,Close To Me (with Diplo) (feat. Swae Lee),2020-04-19 19:26,Ellie Goulding,Close To Me (with Diplo) (feat. Swae Lee),132910,2020-04-19 19:26:00,0.574,0.758,1,-5.029,0,0.0621,0.0969,0.0,0.395,0.492,144.111,audio_features,5JEx7HbmvHQQswJCsoo9rA,spotify:track:5JEx7HbmvHQQswJCsoo9rA,https://api.spotify.com/v1/tracks/5JEx7HbmvHQQswJCsoo9rA,https://api.spotify.com/v1/audio-analysis/5JEx7HbmvHQQswJCsoo9rA,182623,4
3437,With You,2020-04-19 19:29,Kaskade,With You,169670,2020-04-19 19:29:00,0.629,0.327,11,-8.285,1,0.029,0.761,2.96e-05,0.103,0.381,74.953,audio_features,1TQXIltqoZ5XXyfCbAeSQQ,spotify:track:1TQXIltqoZ5XXyfCbAeSQQ,https://api.spotify.com/v1/tracks/1TQXIltqoZ5XXyfCbAeSQQ,https://api.spotify.com/v1/audio-analysis/1TQXIltqoZ5XXyfCbAeSQQ,197732,4
3438,Over You,2020-04-19 19:32,Hogland,Over You,173175,2020-04-19 19:32:00,0.669,0.574,4,-6.442,0,0.0286,0.0175,0.00294,0.146,0.273,120.013,audio_features,4jvjzW7Hm0yK4LvvE0Paz9,spotify:track:4jvjzW7Hm0yK4LvvE0Paz9,https://api.spotify.com/v1/tracks/4jvjzW7Hm0yK4LvvE0Paz9,https://api.spotify.com/v1/audio-analysis/4jvjzW7Hm0yK4LvvE0Paz9,196400,4
3439,Wildest Dream,2020-04-19 19:34,Thomas Gold,Wildest Dream,161249,2020-04-19 19:34:00,0.553,0.664,8,-7.417,1,0.0741,0.0709,0.0056,0.106,0.467,140.06,audio_features,3fVnlF4pGqWI9flVENcT28,spotify:track:3fVnlF4pGqWI9flVENcT28,https://api.spotify.com/v1/tracks/3fVnlF4pGqWI9flVENcT28,https://api.spotify.com/v1/audio-analysis/3fVnlF4pGqWI9flVENcT28,220440,4
3440,Polaroid - R3HAB Remix,2020-04-19 19:37,Jonas Blue,Polaroid - R3HAB Remix,165100,2020-04-19 19:37:00,0.348,0.922,7,-4.402,0,0.139,0.0656,0.000265,0.288,0.184,125.775,audio_features,3LsNRAL1hRtl3gMTJz2NPN,spotify:track:3LsNRAL1hRtl3gMTJz2NPN,https://api.spotify.com/v1/tracks/3LsNRAL1hRtl3gMTJz2NPN,https://api.spotify.com/v1/audio-analysis/3LsNRAL1hRtl3gMTJz2NPN,183835,4
3441,Make Us Never Happen,2020-04-19 19:40,SHY Martin,Make Us Never Happen,152416,2020-04-19 19:40:00,0.61,0.489,10,-8.541,0,0.127,0.308,0.0,0.165,0.331,105.016,audio_features,03ARE7xKtbCVV2GE5j0IWq,spotify:track:03ARE7xKtbCVV2GE5j0IWq,https://api.spotify.com/v1/tracks/03ARE7xKtbCVV2GE5j0IWq,https://api.spotify.com/v1/audio-analysis/03ARE7xKtbCVV2GE5j0IWq,171890,4
3442,Sad Song (feat. TINI),2020-04-19 19:42,Alesso,Sad Song (feat. TINI),144270,2020-04-19 19:42:00,0.734,0.693,0,-6.474,1,0.0361,0.0878,0.0,0.341,0.55,110.021,audio_features,2JoIjuzRplpYGvvLpSW2on,spotify:track:2JoIjuzRplpYGvvLpSW2on,https://api.spotify.com/v1/tracks/2JoIjuzRplpYGvvLpSW2on,https://api.spotify.com/v1/audio-analysis/2JoIjuzRplpYGvvLpSW2on,154024,4
3443,Younger,2020-04-19 19:45,Jonas Blue,Younger,185362,2020-04-19 19:45:00,0.784,0.845,3,-2.793,1,0.0596,0.286,1.59e-05,0.074,0.888,105.981,audio_features,4D7ERaKgv8NAeck8RzUtRz,spotify:track:4D7ERaKgv8NAeck8RzUtRz,https://api.spotify.com/v1/tracks/4D7ERaKgv8NAeck8RzUtRz,https://api.spotify.com/v1/audio-analysis/4D7ERaKgv8NAeck8RzUtRz,194721,4
3444,Better When You're Gone,2020-04-19 19:58,David Guetta,Better When You're Gone,138236,2020-04-19 19:58:00,0.647,0.795,1,-3.548,0,0.0372,0.0635,0.0,0.188,0.409,127.992,audio_features,4Tvw0lweq9l2JPQKFbpbBQ,spotify:track:4Tvw0lweq9l2JPQKFbpbBQ,https://api.spotify.com/v1/tracks/4Tvw0lweq9l2JPQKFbpbBQ,https://api.spotify.com/v1/audio-analysis/4Tvw0lweq9l2JPQKFbpbBQ,192402,4
