,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1-800-273-8255,0.62,0.574,5,-7.788,0,0.0479,0.569,0,0.19,0.357,100.023,audio_features,5tz69p7tJuGPeMGwNTxYuV,spotify:track:5tz69p7tJuGPeMGwNTxYuV,https://api.spotify.com/v1/tracks/5tz69p7tJuGPeMGwNTxYuV,https://api.spotify.com/v1/audio-analysis/5tz69p7tJuGPeMGwNTxYuV,250173,4
Now You Know,0.744,0.563,2,-10.23,0,0.0446,0.109,0.542,0.076,0.55,105.011,audio_features,3uv74bJQCukadVWQsEbjhy,spotify:track:3uv74bJQCukadVWQsEbjhy,https://api.spotify.com/v1/tracks/3uv74bJQCukadVWQsEbjhy,https://api.spotify.com/v1/audio-analysis/3uv74bJQCukadVWQsEbjhy,239500,4
SOS (feat. Aloe Blacc),0.802,0.645,5,-6.181,0,0.0715,0.272,0,0.119,0.376,100.001,audio_features,2x0RZdkZcD8QRI53XT4GI5,spotify:track:2x0RZdkZcD8QRI53XT4GI5,https://api.spotify.com/v1/tracks/2x0RZdkZcD8QRI53XT4GI5,https://api.spotify.com/v1/audio-analysis/2x0RZdkZcD8QRI53XT4GI5,157202,4
Try Me (feat. Jennifer Lopez & Matoma),0.579,0.68,8,-5.634,1,0.076,0.0157,0,0.0699,0.211,100.033,audio_features,3CsYb0TATXfF4sxkrYDiRD,spotify:track:3CsYb0TATXfF4sxkrYDiRD,https://api.spotify.com/v1/tracks/3CsYb0TATXfF4sxkrYDiRD,https://api.spotify.com/v1/audio-analysis/3CsYb0TATXfF4sxkrYDiRD,200240,4
Bad Habit,0.768,0.574,6,-6.104,0,0.136,0.384,1.65e-05,0.336,0.278,74.949,audio_features,4hqOmrCCJKyiuwDexd8c2t,spotify:track:4hqOmrCCJKyiuwDexd8c2t,https://api.spotify.com/v1/tracks/4hqOmrCCJKyiuwDexd8c2t,https://api.spotify.com/v1/audio-analysis/4hqOmrCCJKyiuwDexd8c2t,217776,4
The Girl That's Underneath (feat. Jabbar Hakeem),0.751,0.641,6,-6.36,0,0.0426,0.0824,0,0.164,0.703,120.051,audio_features,6vzMM12p1XkbheVj39VVvT,spotify:track:6vzMM12p1XkbheVj39VVvT,https://api.spotify.com/v1/tracks/6vzMM12p1XkbheVj39VVvT,https://api.spotify.com/v1/audio-analysis/6vzMM12p1XkbheVj39VVvT,186500,4
Talking Body,0.736,0.761,4,-5.449,0,0.0338,0.0966,0,0.0823,0.114,119.999,audio_features,7cgu4JBW3hq1GwTM1ilkKQ,spotify:track:7cgu4JBW3hq1GwTM1ilkKQ,https://api.spotify.com/v1/tracks/7cgu4JBW3hq1GwTM1ilkKQ,https://api.spotify.com/v1/audio-analysis/7cgu4JBW3hq1GwTM1ilkKQ,238427,4
Feel Again,0.605,0.664,8,-7.162,1,0.0316,0.00548,3e-06,0.204,0.164,103.997,audio_features,5Uw7Dut2lZfexn3Y09swpf,spotify:track:5Uw7Dut2lZfexn3Y09swpf,https://api.spotify.com/v1/tracks/5Uw7Dut2lZfexn3Y09swpf,https://api.spotify.com/v1/audio-analysis/5Uw7Dut2lZfexn3Y09swpf,176417,4
Night Changes,0.672,0.52,8,-7.747,1,0.0353,0.859,0,0.115,0.37,120.001,audio_features,5O2P9iiztwhomNh8xkR9lJ,spotify:track:5O2P9iiztwhomNh8xkR9lJ,https://api.spotify.com/v1/tracks/5O2P9iiztwhomNh8xkR9lJ,https://api.spotify.com/v1/audio-analysis/5O2P9iiztwhomNh8xkR9lJ,226600,4
Narcissist (feat. The 1975),0.543,0.682,3,-5.81,1,0.113,0.218,1.53e-06,0.085,0.424,179.969,audio_features,4qjLvvBh5ZeKEPyShKRf06,spotify:track:4qjLvvBh5ZeKEPyShKRf06,https://api.spotify.com/v1/tracks/4qjLvvBh5ZeKEPyShKRf06,https://api.spotify.com/v1/audio-analysis/4qjLvvBh5ZeKEPyShKRf06,195502,4
Jaani Tera Naa,0.776,0.882,8,-2.864,0,0.0456,0.0653,0.000151,0.11,0.789,93.99,audio_features,0LZA36VEmc6n0Y7X29zIgE,spotify:track:0LZA36VEmc6n0Y7X29zIgE,https://api.spotify.com/v1/tracks/0LZA36VEmc6n0Y7X29zIgE,https://api.spotify.com/v1/audio-analysis/0LZA36VEmc6n0Y7X29zIgE,188606,4
Castle on the Hill,0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,audio_features,6PCUP3dWmTjcTtXY02oFdT,spotify:track:6PCUP3dWmTjcTtXY02oFdT,https://api.spotify.com/v1/tracks/6PCUP3dWmTjcTtXY02oFdT,https://api.spotify.com/v1/audio-analysis/6PCUP3dWmTjcTtXY02oFdT,261154,4
